,participant_id,session_start_iso,handedness,proficiency,age,block,block_time_s,trial,amplitude_px,direction,diameter_px,radius_px,errors,path_distance_px,center_to_click_px,trial_time_s
153,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,26,260,right,160,80,0,283.48,280.79,0.5397
154,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,27,180,right,120,60,0,234.21,145.52,0.6497
155,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,28,180,left,160,80,0,241.37,198.06,0.5761
156,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,29,180,left,40,20,0,190.44,183.13,0.6954
157,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,30,260,right,40,20,0,349.23,272.02,0.9014
158,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,31,500,right,80,40,0,711.23,493.41,0.9214
159,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,5,33.6219,32,260,left,160,80,0,242.0,241.07,0.5736
160,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,1,360,right,120,60,0,369.56,363.02,0.8453
161,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,2,180,right,80,40,1,272.86,183.27,0.9628
162,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,3,500,right,120,60,0,785.96,504.1,0.9703
163,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,4,180,left,40,20,0,195.95,190.0,0.6089
164,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,5,260,right,120,60,0,244.83,242.25,0.7211
165,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,6,260,left,40,20,0,266.14,263.01,0.7023
166,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,7,500,right,80,40,0,503.04,495.2,0.8675
167,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,8,500,left,40,20,0,506.89,490.05,0.7496
168,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,9,360,right,160,80,0,358.28,352.0,0.5414
169,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,10,500,right,40,20,0,994.16,485.05,1.1503
170,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,11,180,right,160,80,0,584.66,203.0,0.6749
171,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,12,500,right,160,80,0,669.19,479.07,0.87
172,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,13,180,right,40,20,0,716.45,177.0,1.0335
173,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,14,260,left,120,60,0,383.87,295.0,1.1141
174,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,15,260,left,160,80,0,359.52,269.9,0.7779
175,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,16,260,right,80,40,0,249.06,242.25,0.7742
176,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,17,360,left,120,60,0,325.89,323.01,1.0256
177,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,18,260,right,40,20,0,405.93,259.01,0.924
178,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,19,500,left,160,80,0,572.89,535.73,1.3016
179,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,20,180,left,120,60,0,143.93,139.81,0.7091
180,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,21,500,left,80,40,0,613.7,507.14,0.8426
181,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,22,260,left,80,40,0,790.89,253.05,1.1896
182,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,23,360,left,40,20,0,596.58,367.39,1.1396
183,44319,2025-11-18T18:54:27,Right-handed,Rarely use mouse,20,6,34.1427,24,180,left,80,40,0,320.89,167.73,1.4866
